Sample in Buffer,Sample in Window,TRIGGER,u_top/u_uart/uart_baud[31:0],u_top/u_uart/uart_status[31:0],u_top/u_uart/tx_data[7:0],u_top/u_uart/uart_ctrl[31:0],u_top/u_uart/state[3:0],u_top/u_uart/uart_rx[31:0],u_top/u_uart_debug/mem_addr_o[31:0],u_top/u_uart_debug/state[13:0],u_top/u_uart_debug/mem_wdata_o[31:0],u_ila_0_m1_rdata[31:0],u_top/m0_rdata[31:0],u_top/m0_addr[31:0],u_top/m1_size[2:0],u_top/m1_addr[27:0],u_ila_0_m1_addr[31:28],u_top/m1_wdata[31:0],debug_en_r[7:0],timer_cnt[31:0],debug_en_w,u_ila_0_m1_rd,u_top/m1_we,u_top/u_uart_debug/mem_rd_o,u_top/u_uart_debug/mem_we_o,u_top/u_uart/rx_done,u_top/u_uart/rx_start
33,33,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863962,1,1,0,1,0,0,0
34,34,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863963,1,1,0,1,0,0,0
35,35,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863964,1,1,0,1,0,0,0
36,36,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863965,1,1,0,1,0,0,0
37,37,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863966,1,1,0,1,0,0,0
38,38,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863967,1,1,0,1,0,0,0
39,39,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863968,1,1,0,1,0,0,0
40,40,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863969,1,1,0,1,0,0,0
41,41,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863970,1,1,0,1,0,0,0
42,42,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863971,1,1,0,1,0,0,0
43,43,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863972,1,1,0,1,0,0,0
44,44,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863973,1,1,0,1,0,0,0
45,45,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863974,1,1,0,1,0,0,0
46,46,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863975,1,1,0,1,0,0,0
47,47,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863976,1,1,0,1,0,0,0
